year,state,freq
1976,AL,0
1976,AR,0
1976,AZ,0
1976,CA,0
1976,CO,0
1976,CT,0
1976,DE,0
1976,FE,0
1976,FL,0
1976,GA,0
1976,ID,0
1976,IL,0
1976,IN,0
1976,KY,0
1976,LA,0
1976,MD,0
1976,MO,0
1976,MS,0
1976,MT,0
1976,NC,0
1976,NE,0
1976,NM,0
1976,NV,0
1976,OH,0
1976,OK,0
1976,OR,0
1976,PA,0
1976,SC,0
1976,SD,0
1976,TN,0
1976,TX,0
1976,UT,0
1976,VA,0
1976,WA,0
1976,WY,0
1977,AL,0
1977,AR,0
1977,AZ,0
1977,CA,0
1977,CO,0
1977,CT,0
1977,DE,0
1977,FE,0
1977,FL,0
1977,GA,0
1977,ID,0
1977,IL,0
1977,IN,0
1977,KY,0
1977,LA,0
1977,MD,0
1977,MO,0
1977,MS,0
1977,MT,0
1977,NC,0
1977,NE,0
1977,NM,0
1977,NV,0
1977,OH,0
1977,OK,0
1977,OR,0
1977,PA,0
1977,SC,0
1977,SD,0
1977,TN,0
1977,TX,0
1977,UT,1
1977,VA,0
1977,WA,0
1977,WY,0
1978,AL,0
1978,AR,0
1978,AZ,0
1978,CA,0
1978,CO,0
1978,CT,0
1978,DE,0
1978,FE,0
1978,FL,0
1978,GA,0
1978,ID,0
1978,IL,0
1978,IN,0
1978,KY,0
1978,LA,0
1978,MD,0
1978,MO,0
1978,MS,0
1978,MT,0
1978,NC,0
1978,NE,0
1978,NM,0
1978,NV,0
1978,OH,0
1978,OK,0
1978,OR,0
1978,PA,0
1978,SC,0
1978,SD,0
1978,TN,0
1978,TX,0
1978,UT,0
1978,VA,0
1978,WA,0
1978,WY,0
1979,AL,0
1979,AR,0
1979,AZ,0
1979,CA,0
1979,CO,0
1979,CT,0
1979,DE,0
1979,FE,0
1979,FL,1
1979,GA,0
1979,ID,0
1979,IL,0
1979,IN,0
1979,KY,0
1979,LA,0
1979,MD,0
1979,MO,0
1979,MS,0
1979,MT,0
