year,AL,AR,AZ,CA,CO,CT,DE,FE,FL,GA,ID,IL,IN,KY,LA,MD,MO,MS,MT,NC,NE,NM,NV,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WY
1976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1981,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1983,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984,0,0,0,0,0,0,0,0,8,2,0,0,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0
1985,0,0,0,0,0,0,0,0,3,3,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,6,0,2,0,0
1986,1,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,10,0,1,0,0
1987,1,0,0,0,0,0,0,0,1,5,0,0,0,0,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,1,1,0,0
1988,0,0,0,0,0,0,0,0,2,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0
1989,4,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,4,0,1,0,0
1990,1,2,0,0,0,0,0,0,4,0,0,1,0,0,1,0,4,0,0,0,0,0,1,0,1,0,0,1,0,0,4,0,3,0,0
1991,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,5,0,2,0,0
1992,2,2,1,1,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,12,1,4,0,1
1993,0,0,2,1,0,0,2,0,3,2,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,5,1,0
1994,0,5,0,0,0,0,1,0,1,1,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,14,0,2,1,0
1995,2,2,1,0,0,0,1,0,3,2,0,5,0,0,1,0,6,0,1,2,0,0,0,0,3,0,2,1,0,0,19,0,5,0,0
1996,1,1,2,2,0,0,3,0,2,2,0,1,1,0,1,0,6,0,0,0,1,0,1,0,2,1,0,6,0,0,3,1,8,0,0
1997,3,4,2,0,1,0,0,0,1,0,0,2,1,1,1,1,6,0,0,0,1,0,0,0,1,1,0,2,0,0,37,0,9,0,0
1998,1,1,4,1,0,0,0,0,4,1,0,1,1,0,0,1,3,0,1,3,0,0,1,0,4,0,0,7,0,0,20,0,13,1,0
1999,2,4,7,2,0,0,2,0,1,0,0,1,1,1,1,0,9,0,0,4,0,0,1,1,6,0,1,4,0,0,35,1,14,0,0
2000,4,2,3,1,0,0,1,0,6,0,0,0,0,0,1,0,5,0,0,1,0,0,0,0,11,0,0,1,0,1,40,0,8,0,0
2001,0,1,0,1,0,0,2,2,1,4,0,0,2,0,0,0,7,0,0,5,0,1,1,1,18,0,0,0,0,0,17,0,2,1,0
2002,2,0,0,1,0,0,0,0,3,4,0,0,0,0,1,0,6,2,0,2,0,0,0,3,7,0,0,3,0,0,33,0,4,0,0
2003,3,1,0,0,0,0,0,1,3,3,0,0,2,0,0,0,2,0,0,7,0,0,0,3,14,0,0,0,0,0,24,0,2,0,0
2004,2,1,0,0,0,0,0,0,2,2,0,0,0,0,0,1,0,0,0,4,0,0,2,7,6,0,0,4,0,0,23,0,5,0,0
2005,4,1,0,2,0,1,1,0,1,3,0,0,5,0,0,1,5,1,0,5,0,0,0,4,4,0,0,3,0,0,19,0,0,0,0
2006,1,0,0,1,0,0,0,0,4,0,0,0,1,0,0,0,0,1,1,4,0,0,1,5,4,0,0,1,0,1,24,0,4,0,0
2007,3,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,2,3,0,0,1,1,2,26,0,0,0,0
2008,0,0,0,0,0,0,0,0,2,3,0,0,0,1,0,0,0,2,0,0,0,0,0,2,2,0,0,3,0,0,18,0,4,0,0
2009,6,0,0,0,0,0,0,0,2,3,0,0,1,0,0,0,1,0,0,0,0,0,0,5,3,0,0,2,0,2,24,0,3,0,0
2010,5,0,1,0,0,0,0,0,1,2,0,0,0,0,1,0,0,3,0,0,0,0,0,8,3,0,0,0,0,0,17,1,3,1,0
2011,6,0,4,0,0,0,1,0,2,4,1,0,0,0,0,0,1,2,0,0,0,0,0,5,2,0,0,1,0,0,13,0,1,0,0
2012,0,0,6,0,0,0,1,0,3,0,1,0,0,0,0,0,0,6,0,0,0,0,0,3,6,0,0,0,2,0,15,0,0,0,0
2013,1,0,2,0,0,0,0,0,7,1,0,0,0,0,0,0,2,0,0,0,0,0,0,3,6,0,0,0,0,0,16,0,1,0,0
2014,0,0,1,0,0,0,0,0,8,2,0,0,0,0,0,0,10,0,0,0,0,0,0,1,3,0,0,0,0,0,10,0,0,0,0
2015,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,13,0,1,0,0
2016,2,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
2017,3,4,0,0,0,0,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,7,0,2,0,0
2018,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,3,13,0,0,0,0
